Age;Sex;Race;Marital status;Education
6;0;0;3;4
2;0;0;3;0
3;0;0;3;1
2;0;0;3;0
8;0;0;3;4
6;0;0;3;2
0;0;0;3;0
8;0;0;3;6
4;0;0;3;3
3;0;0;3;3
7;0;0;3;4
4;0;0;3;3
2;0;0;3;0
3;0;0;3;1
3;0;0;3;3
1;0;0;3;0
1;0;0;3;0
5;0;0;3;3
2;0;0;3;0
2;0;0;3;0
9;0;0;3;7
7;0;0;3;4
9;0;0;3;6
4;0;0;3;3
4;0;0;3;3
9;0;0;3;6
6;0;0;3;2
0;0;0;3;0
2;0;0;3;0
7;0;0;3;5
8;0;0;3;5
7;0;0;3;4
7;0;0;3;4
0;0;0;3;0
8;0;0;3;5
6;0;0;3;2
9;0;0;3;6
7;0;0;3;5
8;0;0;3;6
7;0;0;3;4
8;0;0;3;6
6;0;0;3;2
6;0;0;3;1
8;0;0;3;5
6;0;0;3;2
5;0;0;3;2
2;0;0;3;0
8;0;0;3;5
6;0;0;3;2
0;0;0;3;0
9;0;0;3;5
0;0;0;3;0
5;0;0;3;3
3;0;0;3;1
1;0;0;3;0
5;0;0;3;3
3;0;0;3;1
9;0;0;3;6
3;0;0;3;3
2;0;0;3;0
9;0;0;3;6
4;0;0;3;3
9;0;0;3;6
1;0;0;3;0
1;0;0;3;0
6;0;0;3;2
8;0;0;3;4
7;0;0;3;4
9;0;0;3;6
4;0;0;3;3
1;0;0;3;0
5;0;0;3;1
8;0;0;3;5
7;0;0;3;4
6;0;0;3;2
6;0;0;3;2
7;0;0;3;2
9;0;0;3;5
7;0;0;3;2
9;0;0;3;7
3;0;0;3;1
8;0;0;3;4
6;0;0;3;3
4;0;0;3;1
7;0;0;3;4
9;0;0;3;6
8;0;0;3;5
0;0;0;3;0
3;0;0;3;3
4;0;0;3;3
5;0;0;3;1
8;0;0;3;5
3;0;0;3;1
0;0;0;3;0
0;0;0;3;0
8;0;0;3;4
2;0;0;3;0
9;0;0;3;6
6;0;0;3;2
6;0;0;3;2
3;0;0;3;1
3;0;0;3;3
3;0;0;3;3
2;0;0;3;0
0;0;0;3;0
3;0;0;3;1
9;0;0;3;6
8;0;0;3;4
1;0;0;3;0
1;0;0;3;0
5;0;0;3;1
1;0;0;3;0
3;0;0;3;1
8;0;0;3;4
8;0;0;3;5
7;0;0;3;4
6;0;0;3;2
3;0;0;3;1
8;0;0;3;5
5;0;0;3;3
9;0;0;3;5
9;0;0;3;5
8;0;0;3;4
0;0;0;3;0
2;0;0;3;0
2;0;0;3;0
3;0;0;3;1
6;0;0;3;3
9;0;0;3;6
6;0;0;3;1
7;0;0;3;4
7;0;0;3;2
3;0;0;3;1
2;0;0;3;0
7;0;0;3;2
4;0;0;3;1
9;0;0;3;5
0;0;0;3;0
5;0;0;3;3
0;0;0;3;0
7;0;0;3;4
0;0;0;3;0
6;0;0;3;2
2;0;0;3;0
0;0;0;3;0
8;0;0;3;5
4;0;0;3;1
9;0;0;3;6
3;0;0;3;1
1;0;0;3;0
7;0;0;3;5
5;0;0;3;1
1;0;0;3;0
8;0;0;3;4
2;0;0;3;0
7;0;0;3;4
5;0;0;3;3
2;0;0;3;0
6;0;0;3;2
4;0;0;3;1
5;0;0;3;3
0;0;0;3;0
8;0;0;3;6
3;0;0;3;3
3;0;0;3;1
4;0;0;3;3
2;0;0;3;0
6;0;0;3;2
9;0;0;3;5
2;0;0;3;0
9;0;0;3;6
2;0;0;3;0
9;0;0;3;6
7;0;0;3;2
2;0;0;3;0
2;0;0;3;0
1;0;0;3;0
4;0;0;3;3
1;0;0;3;0
9;0;0;3;6
8;0;0;3;5
8;0;0;3;5
4;0;0;3;1
1;0;0;3;0
8;0;0;3;5
9;0;0;3;6
7;0;0;3;4
1;0;0;3;0
3;0;0;3;3
3;0;0;3;3
1;0;0;3;0
7;0;0;3;4
1;0;0;3;0
2;0;0;3;0
9;0;0;3;6
7;0;0;3;4
8;0;0;3;4
9;0;0;3;6
9;0;0;3;5
4;0;0;3;3
1;0;0;3;0
3;0;0;3;1
3;0;0;3;1
4;0;0;3;1
6;0;0;3;2
8;0;0;3;5
4;0;0;3;1
0;0;0;3;0
9;0;0;3;7
8;0;0;3;5
3;0;0;3;1
1;0;0;3;0
4;0;0;3;3
3;0;0;3;1
3;0;0;3;1
8;0;0;3;5
8;0;0;3;5
7;0;0;3;2
4;0;0;3;1
5;0;0;3;1
9;0;0;3;6
6;0;0;3;2
1;0;0;3;0
4;0;0;3;1
4;0;0;3;3
0;0;0;3;0
6;0;0;3;2
9;0;0;3;6
6;0;0;3;2
7;0;0;3;4
5;0;0;3;1
2;0;0;3;0
2;0;0;3;0
5;0;0;3;1
0;0;0;3;0
3;0;0;3;3
8;0;0;3;5
8;0;0;3;5
8;0;0;3;4
8;0;0;3;5
5;0;0;3;3
3;0;0;3;1
9;0;0;3;6
6;0;0;3;2
6;0;0;3;2
5;0;0;3;3
7;0;0;3;2
3;0;0;3;3
1;0;0;3;0
7;0;0;3;2
7;0;0;3;4
5;0;0;3;3
9;0;0;3;6
1;0;0;3;0
1;0;0;3;0
9;0;0;3;6
4;0;0;3;1
8;0;0;3;5
2;0;0;3;0
8;0;0;3;4
3;0;0;3;1
6;0;0;3;3
1;0;0;3;0
6;0;0;3;2
5;0;0;3;1
5;0;0;3;1
2;0;0;3;0
3;0;0;3;3
3;0;0;3;3
4;0;0;3;3
8;0;0;3;5
1;0;0;3;0
4;0;0;3;1
1;0;0;3;0
0;0;0;3;0
8;0;0;3;5
2;0;0;3;0
4;0;0;3;1
5;0;0;3;1
1;0;0;3;0
6;0;0;3;3
5;0;0;3;3
1;0;0;3;0
1;0;0;3;0
1;0;0;3;0
6;0;0;3;4
4;0;0;3;3
1;0;0;3;0
0;0;0;3;0
3;0;0;3;1
2;0;0;3;0
7;0;0;3;2
5;0;0;3;3
4;0;0;3;3
5;0;0;3;3
9;0;0;3;6
1;0;0;3;0
5;0;0;3;3
1;0;0;3;0
1;0;0;3;0
1;0;0;3;0
0;0;0;3;0
9;0;0;3;7
5;0;0;3;2
5;0;0;3;3
0;0;0;3;0
3;0;0;3;3
4;0;0;3;1
1;0;0;3;0
0;0;0;3;0
3;0;0;3;1
6;0;0;3;5
9;0;0;3;6
4;0;0;3;3
0;0;0;3;0
7;0;0;3;4
1;0;0;3;0
9;0;0;3;6
6;0;0;3;2
5;0;0;3;2
3;0;0;3;1
3;0;0;3;3
6;0;0;3;2
6;0;0;3;2
4;0;0;3;3
6;0;0;3;3
6;0;0;3;2
1;0;0;3;0
5;0;0;3;3
2;0;0;3;0
7;0;0;3;2
5;0;0;3;3
6;0;0;3;2
4;0;0;3;3
2;0;0;3;0
6;0;0;3;2
8;0;0;3;5
5;0;0;3;3
2;0;0;3;0
5;0;0;3;3
7;0;0;3;2
5;0;0;3;3
8;0;0;3;5
9;0;0;3;6
6;0;0;3;2
1;0;0;3;0
8;0;0;3;5
8;0;0;3;5
3;0;0;3;1
0;0;0;3;0
0;0;0;3;0
8;0;0;3;4
7;0;0;3;4
8;0;0;3;5
5;0;0;3;3
4;0;0;3;3
4;0;0;3;3
5;0;0;3;1
8;0;0;3;6
0;0;0;3;0
3;0;0;3;1
0;0;0;3;0
4;0;0;3;3
2;0;0;3;0
3;0;0;3;1
1;0;0;3;0
2;0;0;3;0
8;0;0;3;6
1;0;0;3;0
8;0;0;3;4
9;0;0;3;9
9;0;0;3;5
7;0;0;3;4
4;0;0;3;1
9;0;0;3;6
8;0;0;3;5
6;0;0;3;3
2;0;0;3;0
4;0;0;3;1
7;0;0;3;2
5;0;0;3;3
4;0;0;3;1
9;0;0;3;5
9;0;0;3;5
5;0;0;3;3
9;0;0;3;6
6;0;0;3;2
9;0;0;3;5
7;0;0;3;4
1;0;0;3;0
4;0;0;3;3
5;0;0;3;3
1;0;0;3;0
7;0;0;3;4
6;0;0;3;2
0;0;0;3;0
9;0;0;3;6
1;0;0;3;0
2;0;0;3;0
2;0;0;3;0
7;0;0;3;2
8;0;0;3;4
4;0;0;3;1
0;0;0;3;0
5;0;0;3;3
1;0;0;3;0
0;0;0;3;0
7;0;0;3;2
1;0;0;3;0
7;0;0;3;4
3;0;0;3;3
7;0;0;3;4
9;0;0;3;6
9;0;0;3;5
0;0;0;3;0
2;0;0;3;0
1;0;0;3;0
9;0;0;3;6
8;0;0;3;5
5;0;0;3;3
7;0;0;3;4
6;0;0;3;2
3;0;0;3;1
0;0;0;3;0
3;0;0;3;1
3;0;0;3;1
6;0;0;3;2
3;0;0;3;1
7;0;0;3;4
0;0;0;3;0
4;0;0;3;3
0;0;0;3;0
2;0;0;3;0
4;0;0;3;1
1;0;0;3;0
7;0;0;3;4
3;0;0;3;3
9;0;0;3;6
6;0;0;3;2
4;0;0;3;1
7;0;0;3;4
3;0;0;3;1
4;0;0;3;3
2;0;0;3;0
3;0;0;3;1
1;0;0;3;0
7;0;0;3;4
5;0;0;3;1
0;0;0;3;0
9;0;0;3;6
4;0;0;3;3
3;0;0;3;1
2;0;0;3;0
1;0;0;3;0
8;0;0;3;5
6;0;0;3;1
2;0;0;3;0
7;0;0;3;5
7;0;0;3;5
0;0;0;3;0
5;0;0;3;3
8;0;0;3;4
8;0;0;3;5
7;0;0;3;4
6;0;0;3;2
0;0;0;3;0
5;0;0;3;3
3;0;0;3;3
6;0;0;3;2
6;0;0;3;4
6;0;0;3;4
9;0;0;3;5
0;0;0;3;0
4;0;0;3;1
2;0;0;3;0
0;0;0;3;0
4;0;0;3;1
6;0;0;3;2
0;0;0;3;0
0;0;0;3;0
6;0;0;3;2
6;0;0;3;2
8;0;0;3;6
9;0;0;3;6
8;0;0;3;6
8;0;0;3;2
1;0;0;3;0
6;0;0;3;3
9;0;0;3;5
8;0;0;3;4
1;0;0;3;0
8;0;0;3;5
7;0;0;3;4
1;0;0;3;0
3;0;0;3;1
5;0;0;3;3
9;0;0;3;6
0;0;0;3;0
2;0;0;3;0
3;0;0;3;1
2;0;0;3;0
5;0;0;3;1
0;0;0;3;0
3;0;0;3;1
5;0;0;3;3
2;0;0;3;0
8;0;0;3;4
2;0;0;3;0
5;0;0;3;3
3;0;0;3;3
8;0;0;3;5
1;0;0;3;0
1;0;0;3;0
3;0;0;3;1
5;0;0;3;3
2;0;0;3;0
0;0;0;3;0
9;0;0;3;6
9;0;0;3;6
8;0;0;3;4
7;0;0;3;4
7;0;0;3;2
5;0;0;3;3
1;0;0;3;0
8;0;0;3;5
7;0;0;3;5
9;0;0;3;6
6;0;0;3;4
0;0;0;3;0
8;0;0;3;6
4;0;0;3;3
8;0;0;3;5
1;0;0;3;0
2;0;0;3;0
5;0;0;3;2
7;0;0;3;4
5;0;0;3;3
4;0;0;3;3
1;0;0;3;0
8;0;0;3;5
7;0;0;3;2
7;0;0;3;4
3;0;0;3;3
1;0;0;3;0
3;0;0;3;1
1;0;0;3;0
5;0;0;3;3
0;0;0;3;0
6;0;0;3;2
6;0;0;3;2
6;0;0;3;2
0;0;0;3;0
2;0;0;3;0
0;0;0;3;0
6;0;0;3;3
2;0;0;3;0
0;0;0;3;0
3;0;0;3;1
7;0;0;3;4
7;0;0;3;4
2;0;0;3;0
8;0;0;3;4
3;0;0;3;1
9;0;0;3;7
6;0;0;3;3
1;0;0;3;0
1;0;0;3;0
7;0;0;3;4
8;0;0;3;5
6;0;0;3;4
9;0;0;3;5
4;0;0;3;1
7;0;0;3;4
1;0;0;3;0
9;0;0;3;6
1;0;0;3;0
8;0;0;3;5
7;0;0;3;2
8;0;0;3;5
9;0;0;3;6
8;0;0;3;4
6;0;0;3;4
8;0;0;3;5
1;0;0;3;0
5;0;0;3;3
4;0;0;3;3
1;0;0;3;0
8;0;0;3;5
0;0;0;3;0
0;0;0;3;0
7;0;0;3;2
4;0;0;3;1
4;0;0;3;3
3;0;0;3;1
4;0;0;3;1
7;0;0;3;5
8;0;0;3;2
4;0;0;3;3
0;0;0;3;0
5;0;0;3;1
1;0;0;3;0
1;0;0;3;0
9;0;0;3;6
4;0;0;3;3
2;0;0;3;0
7;0;0;3;4
4;0;0;3;3
6;0;0;3;3
2;0;0;3;0
8;0;0;3;5
6;0;0;3;2
3;0;0;3;3
8;0;0;3;6
8;0;0;3;6
5;0;0;3;3
1;0;0;3;0
1;0;0;3;0
5;0;0;3;3
3;0;0;3;1
4;0;0;3;1
2;0;0;3;0
4;0;0;3;1
7;0;0;3;4
6;0;0;3;2
9;0;0;3;6
6;0;0;3;3
0;0;0;3;0
6;0;0;3;2
5;0;0;3;3
1;0;0;3;0
0;0;0;3;0
2;0;0;3;0
3;0;0;3;1
0;0;0;3;0
0;0;0;3;0
2;0;0;3;0
6;0;0;3;2
7;0;0;3;2
9;0;0;3;6
6;0;0;3;4
3;0;0;3;1
1;0;0;3;0
8;0;0;3;5
0;0;0;3;0
7;0;0;3;4
4;0;0;3;1
3;0;0;3;1
7;0;0;3;4
6;0;0;3;2
1;0;0;3;0
9;0;0;3;5
8;0;0;3;5
5;0;0;3;3
7;0;0;3;4
5;0;0;3;1
2;0;0;3;0
2;0;0;3;0
2;0;0;3;0
5;0;0;3;3
8;0;0;3;4
4;0;0;3;1
4;0;0;3;1
3;0;0;3;3
1;0;0;3;0
8;0;0;3;4
9;0;0;3;7
0;0;0;3;0
2;0;0;3;0
9;0;0;3;6
6;0;0;3;2
2;0;0;3;0
1;0;0;3;0
7;0;0;3;4
9;0;0;3;6
4;0;0;3;1
7;0;0;3;2
7;0;0;3;2
5;0;0;3;3
8;0;0;3;5
8;0;0;3;5
7;0;0;3;4
4;0;0;3;3
6;0;0;3;2
4;0;0;3;3
1;0;0;3;0
1;0;0;3;0
7;0;0;3;5
7;0;0;3;4
4;0;0;3;1
3;0;0;3;1
8;0;0;3;5
9;0;0;3;6
7;0;0;3;4
4;0;0;3;1
0;0;0;3;0
5;0;0;3;3
2;0;0;3;0
3;0;0;3;1
1;0;0;3;0
1;0;0;3;0
9;0;0;3;7
0;0;0;3;0
0;0;0;3;0
9;0;0;3;6
8;0;0;3;5
5;0;0;3;3
5;0;0;3;3
4;0;0;3;3
9;0;0;3;5
3;0;0;3;1
3;0;0;3;1
3;0;0;3;1
8;0;0;3;5
7;0;0;3;2
8;0;0;3;5
4;0;0;3;1
7;0;0;3;4
3;0;0;3;1
8;0;0;3;4
2;0;0;3;0
9;0;0;3;6
6;0;0;3;2
6;0;0;3;2
0;0;0;3;0
2;0;0;3;0
0;0;0;3;0
0;0;0;3;0
8;0;0;3;4
4;0;0;3;1
3;0;0;3;1
3;0;0;3;1
0;0;0;3;0
